query_product,query_leaf_category,precision@5,recall,average_precision
SAP Grey Women's T-Shirt Bra,bras,1.0,0.006273525721455458,1.0
Nickolas Stylish Casual Bellies,stylish casual bellies,1.0,0.0049504950495049506,1.0
Exotica Fabric Necklace,necklaces,1.0,0.003961965134706815,1.0
Ruvee Marwari Tika Brooch,marwari tika brooch multicolor,1.0,0.0017686593562079944,1.0
Status Push-Up Women's T-Shirt Bra,bras,1.0,0.006273525721455458,1.0
Northern Lights Solid Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Nutcase Sticker Wrap Design - Mint & Grey Chevron 800 ml Bottle,water bottle,1.0,0.35714285714285715,1.0
Leatherworld Women Wedges,wedges,1.0,0.029069767441860465,1.0
Taino My Fun Fish Self Cleaning Tank Rectangle Plastic Pet Bowl,fun fish self cleaning tank rectangle,1.0,0.2,1.0
"K&N 1 Bike Spark Plug, 1 Air Filter-TVS Sport Combo",bike spark plug air filter tvs sport combo,1.0,0.006082725060827251,1.0
La Rochelle Women's Leggings,leggings jeggings,1.0,0.03424657534246575,1.0
S4S Stylish Women's Push-up Bra,bras,1.0,0.006273525721455458,1.0
Maspar Cotton Set of Towels,towels,1.0,0.06944444444444445,1.0
SVM Diamond163 Fashion Analog Watch  - For Girls,wrist watches,1.0,0.013123359580052493,1.0
Homedesires Showpiece  -  10.5 cm,ethnic,1.0,0.038461538461538464,1.0
Reebok Handweight Fixed Weight Dumbbell,accessories,1.0,0.037037037037037035,1.0
Hitch Boots,casual shoes,1.0,0.03067484662576687,1.0
Platignum Carnaby Street Ball Pen,ball pens,1.0,1.0,1.0
Yuccabe Italia Plant Container Set,plant container sets,1.0,0.018726591760299626,1.0
Bombay High Women's Solid Casual Shirt,shirts,1.0,0.004105090311986864,1.0
"Zrestha Women's Brown, Pink, Orange Leggings",women brown pink orange leggings pa,1.0,0.0010113268608414239,1.0
Dilan Jewels Alloy Zircon 18K Yellow Gold Bangle,alloy zircon 18k yellow gold bangle,0.6,0.5,0.6
Bottoms More Regular Fit Women's Blue Trousers,trousers,1.0,0.078125,1.0
Rex Monk Strap,monk strap,1.0,0.0049504950495049506,1.0
o.h.m Solid Men's Black Track Pants,track pants,1.0,0.13157894736842105,1.0
Nautica Solid Turtle Neck Casual Men's Sweater,solid turtle neck casual men sweater,1.0,0.0010113268608414239,1.0
Fashion Era Metal Bracelet,bracelets,1.0,0.02577319587628866,1.0
Villcart Marble Ganesha with Chowki and Mouse Painting Showpiece  -  10 cm,religion devotion,1.0,0.006711409395973154,1.0
Rajrang Floral Cushions Cover,cushion covers,1.0,0.10416666666666667,1.0
Neo Gold Leaf Winne The Pooh New Combo Art Plastic Pencil Box,pencil boxes,1.0,0.08064516129032258,1.0
Titli Women Heels,heels,1.0,0.04424778761061947,1.0
Zadine Women's Leggings,leggings jeggings,1.0,0.03424657534246575,1.0
Welhouse Floral Cushions Cover,cushion covers,1.0,0.10416666666666667,1.0
NE Women's Leggings,leggings jeggings,1.0,0.03424657534246575,1.0
TakeInCart Solid Baseball Cap,caps,1.0,0.2777777777777778,1.0
Anuradha Art Designer Brooch,designer brooch silver,1.0,0.0017686593562079944,1.0
F&S Women's Checkered Casual Shirt,shirts,1.0,0.004105090311986864,1.0
4D Sony Vaio Bps22 6 Cell Laptop Battery,batteries,1.0,0.07692307692307693,1.0
"Indian Charm Sky Blue Beads Glass, Metal Necklace",necklaces,1.0,0.003961965134706815,1.0
Fck3 Women's Leggings,leggings jeggings,1.0,0.03424657534246575,1.0
Affinity Jewellers Designer Meena Bead Red Taar Mala String Pearl 18K Yellow Gold Plated Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Zyxel VMG1312-B10A VDSL2 Wireless N VDSL2 4-port Gateway with USB,routers,1.0,0.032679738562091505,1.0
Numero Uno Men's T-Shirt,shirts,1.0,0.004105090311986864,1.0
Orcel Good Quality Portable Flexible USB USB Fan,usb gadgets,1.0,0.04132231404958678,1.0
Roadster Women's Checkered Casual Reversible Shirt,shirts,1.0,0.004105090311986864,1.0
"DailyObjects Back Cover for Apple iPad 2, 3, 4",cases covers,1.0,0.007886435331230283,1.0
"DailyObjects Back Cover for Apple iPad Mini, Retina Display",cases covers,1.0,0.007886435331230283,1.0
"Home Originals Geometric, Striped Double Blanket Multicolor",blankets quilts dohars,1.0,0.03424657534246575,1.0
Regent Analog 31 cm Dia Wall Clock,wall clocks,1.0,0.09803921568627451,1.0
"IndiWeaves Regular Fit Men's Linen White, Cream Trousers",regular fit men linen white cream,1.0,0.0010113268608414239,1.0
Edel Shoulder Bag,shoulder bag brown,1.0,0.024390243902439025,1.0
Taj Pearl Designer  K Alloy Drop Earring,earrings,1.0,0.06756756756756757,1.0
JDK NOVELTY Hand-held Bag,hand held bag beige,1.0,0.024390243902439025,1.0
Kiosha Women's Solid Casual Shirt,shirts,1.0,0.004105090311986864,1.0
WearYourShine by PCJ The Xaria Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
AutoKraftZ Silicone Car Bumper Guard,door bumper guards,1.0,0.38461538461538464,1.0
Bralux Trishna Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Fashion Jewellery Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Wajbee Full Sleeve Solid Men's Sweatshirt,sweatshirts,1.0,0.08333333333333333,1.0
E-plant Edible Vegetable Seed,seeds,1.0,0.07352941176470588,1.0
Foolzy 13 Pieces Pedicure Set With Vanity,manicure kits,1.0,0.4166666666666667,1.0
Onlineshoppee SHA34-sh Showpiece  -  24 cm,ethnic,1.0,0.038461538461538464,1.0
Jafra UV Blocker - SPF 30 PA+++,sunscreen,1.0,0.18518518518518517,1.0
"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",shorts,1.0,0.1,1.0
Speedwav 154422 Manual Rear View Mirror,154422 manual rear view mirror interior,1.0,0.006082725060827251,1.0
Moladz Osritch Lace Up Shoes,formal shoes,1.0,0.11363636363636363,1.0
Rann Women's Leggings,legging jegging,1.0,0.0010113268608414239,1.0
Honey by Pantaloons Women's A-line Dress,dresses,1.0,0.013966480446927373,1.0
Quoface Day And Night Vision Car And Bike Driving Cycling Goggles,day night vision car bike drivin,1.0,0.037037037037037035,1.0
Oleva Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Pratami Silk Solid Blouse Material,blouse material,1.0,0.09090909090909091,1.0
JJC LH-78BII  Lens Hood,lens hoods,1.0,0.11363636363636363,1.0
Norwood Striped Men's Polo Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
PRINT SHAPES Gentle man Laptop Skin with Mouse pad Combo Set,gentle man laptop skin mouse,1.0,0.011013215859030838,1.0
Vivity Women's Plunge Bra,bras,1.0,0.006273525721455458,1.0
ISHWA Full Sleeve Graphic Print Men's Sweatshirt,sleeve graphic print men sweatshirt,1.0,0.0010113268608414239,1.0
Allure Auto CM 1028 Car Mat Honda City,car mats,1.0,0.01160092807424594,1.0
Voylla Alloy Jewel Set,jewellery,1.0,0.042735042735042736,1.0
Prithish Aries Double Color Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
GoldNera Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Fabiya Women's Bikini Panty,women bikini panty pack,1.0,0.8333333333333334,1.0
Numero Uno Printed Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Rusk Hair Dryer Bonnet,hair dryer bonnet,1.0,0.5555555555555556,1.0
Goodyear GY10004 Bolt Cutter,tile cutters,1.0,0.07352941176470588,1.0
"Home Fashion Gallery Polyester Maroon, Brown Plain Eyelet Long Door Curtain",curtains,1.0,0.049019607843137254,1.0
Ploomz Fashion Women's Push-up Bra,bras,1.0,0.006273525721455458,1.0
TSF Loafers,casual shoes,1.0,0.03067484662576687,1.0
Zaisch Mother of Pearl Necklace,necklaces,1.0,0.003961965134706815,1.0
DeStudio Tiny Wall Sticker,wall decals stickers,1.0,0.06756756756756757,1.0
AdroitZ Premium Phone Socket Holder For Nexus S,premium phone socket holder nexus,1.0,0.005720823798627002,1.0
ETTI ESJ69_MULTI Glass Necklace,necklaces,1.0,0.003961965134706815,1.0
Bigkik Flexible Lamp Mini Portable Designer USB Led Light,usb gadgets,1.0,0.04132231404958678,1.0
VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,net embroidered semi stitched salwar suit,1.0,0.0010113268608414239,1.0
Zephyrr Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
House This Cotton Pink Floral Eyelet Window Curtain,curtains,1.0,0.049019607843137254,1.0
Bio Kid Infant Pyjama Set Baby Boy's Printed Multicolor Top & Shorts Set,infant pyjama set baby boy printed mul,1.0,0.0010113268608414239,1.0
Jewelove Metal Necklace,necklaces,1.0,0.003961965134706815,1.0
Yardley Elegance and Equity Combo Set,combos,1.0,0.016181229773462782,1.0
Baby Moshai Baby Girl's A-line Dress,girl line dress,0.0,0.0,0.0
Fastway Sleeve for Alcatel Pixi 3 (8) 3G Tab,cases covers,1.0,0.007886435331230283,1.0
Sutra Decor Handmade Metallic Petals Planters Plant Container Set,plant container sets,1.0,0.018726591760299626,1.0
"NIPPY Boy's Kurta, Waistcoat and Breeches Set",boy kurta waistcoat breeches set,1.0,0.0010113268608414239,1.0
S4S Stylish Women's Push-up Bra,bras,1.0,0.006273525721455458,1.0
Variation Diamond Flowers Brooch,diamond flowers brooch white,1.0,0.0017686593562079944,1.0
United Bags Bundi TT 35 L Laptop Backpack,backpacks,1.0,0.11904761904761904,1.0
Wow! Baby Girl's Gathered Yellow Dress,baby girl gathered yellow dress,1.0,0.012953367875647668,1.0
Lippy Black Lace Up Shoes,formal shoes,1.0,0.11363636363636363,1.0
MARVEL HMRPLB 256-SPM 1 Containers Lunch Box,hmrplb 256 spm containers lunch box 50,1.0,0.009633911368015413,1.0
Atithee Women's Top and Skirt Set,women skirt set,1.0,0.0010113268608414239,1.0
JEWEL FUEL Shoulder Bag,shoulder bag yellow,1.0,0.024390243902439025,1.0
Allen Solly Casual Sleeveless Solid Women's Top,tops,1.0,0.015015015015015015,1.0
Devinez Home Liquid Air Freshener,home liquid air freshener 30,1.0,0.006711409395973154,1.0
Van Heusen Men's Striped Formal Shirt,casual party wear shirts,1.0,0.1282051282051282,1.0
Nimya Solid Men's Polo Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Parinaaz Alloy Mangalsutra,alloy mangalsutra,1.0,0.0017686593562079944,1.0
Allure Auto CM 643 Car Mat Maruti Eeco,car mats,1.0,0.01160092807424594,1.0
Rk Plant Container Set,plant container sets,1.0,0.018726591760299626,1.0
"Voylla Metal, Alloy Necklace",necklaces,1.0,0.003961965134706815,1.0
BellBut Casual Shoes,casual shoes,1.0,0.03067484662576687,1.0
Jadoo Collections Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Opiumstreet Printed Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Joyeria Milan Resin Necklace,necklaces,1.0,0.003961965134706815,1.0
Perucci PC-501C & PC-219 Decker Analog Watch  - For Men,wrist watches,1.0,0.013123359580052493,1.0
Etti ESJ17 Plastic Necklace,necklaces,1.0,0.003961965134706815,1.0
Gia Plastic Necklace,necklaces,1.0,0.003961965134706815,1.0
FS Mini Klub Solid Baby Boy's Pathani Kurta,kurtas,1.0,0.38461538461538464,1.0
Mother Mary & Baby Jesus Paper Print,mother mary baby jesus paper print 18 inch,1.0,0.006711409395973154,1.0
Siyas Collection Lac Cubic Zirconia Bangle Set,lac cubic zirconia bangle set,0.2,1.0,1.0
BELL BLEP-D10 Earphone Cable Organizer,blep d10 earphone cable organizer,1.0,0.005720823798627002,1.0
"Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-FZ150E 75 Adapter",19 5v 9a replacement charger vaio,1.0,0.29411764705882354,1.0
HP PavilionDV5-1010tx 6 Cell Laptop Battery,batteries,1.0,0.07692307692307693,1.0
Art N Hub Generic Photo Frame,generic photo frame photo size,1.0,0.006711409395973154,1.0
Pink Rose Alloy Hand Thong,alloy hand thong,1.0,0.0017686593562079944,1.0
Oviyon Printed Men's V-neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Elite Collection Medium Acrylic Sticker,stickers,1.0,0.03164556962025317,1.0
G Fashion Striped Cotton Women's Harem Pants,harem pants,0.8,0.5714285714285714,0.8
Nord51 Solid Men's Polo Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Younky Fashion Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Happy walls Extra Large PVC vinyl Sticker,extra large pvc vinyl sticker pack,1.0,0.006711409395973154,1.0
Oviyon Printed Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Steppings Women Wedges,wedges,1.0,0.029069767441860465,1.0
Zephyrr Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Yardley Equity Combo Set,combos,1.0,0.016181229773462782,1.0
Levis Kids Casual Short Sleeve Printed Girl's Top,tops,1.0,0.015015015015015015,1.0
Speedwav 77551 Handlebar,77551 handlebar silver,1.0,0.006082725060827251,1.0
QP360 Kid Fan MLY2014 USB USB Fan,usb gadgets,1.0,0.04132231404958678,1.0
Status Quo Solid Casual Men's Sweater,sweaters,1.0,0.0847457627118644,1.0
Karatcraft Lyncis Yellow Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
Perky Girl's Layered Dress,dresses,1.0,0.013966480446927373,1.0
Rays007 Cartoon Double Quilts & Comforters Multicolor,blankets quilts dohars,1.0,0.03424657534246575,1.0
Generix pack of 5 Micro USB On-the-go For Mobile Phones & Tablets OTG Cable,pack micro usb mobile,1.0,0.005720823798627002,1.0
Orange and Orchid Women's Shrug,women shrug,1.0,0.5555555555555556,1.0
"Times TIMES_98 Formal Analog Watch  - For Women, Girls",wrist watches,1.0,0.013123359580052493,1.0
Timewel N1584 Analog Watch  - For Men,wrist watches,1.0,0.013123359580052493,1.0
Avenue AO-B83 150 ml Sipper,ao b83 150 ml sipper pack multicolor,1.0,0.009633911368015413,1.0
Tootpado Art Plastic Punches & Punching Machines,punches punching machines,1.0,0.2,1.0
TheLostPuppy Back Cover for Apple iPad Air,cases covers,1.0,0.007886435331230283,1.0
Grafion by Grafion - Comfort Feel Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Modishera Y- Back Suspenders for Men,suspenders,1.0,0.45454545454545453,1.0
"BlueStone The Bougainvillea White Gold Sapphire, Diamond 18 K Ring",rings,1.0,0.008635578583765112,1.0
Salona Bichona Casual Printed Women's Kurti,kurtis,1.0,0.0364963503649635,1.0
Voylla Artificial Simplicity Plain Wood Necklace,necklaces,1.0,0.003961965134706815,1.0
Change360° Floral Print Women's A-line Skirt,skirts,1.0,0.11363636363636363,1.0
La Stella Women's Shift Dress,dresses,1.0,0.013966480446927373,1.0
Volaliva Metal Choker,necklaces,1.0,0.003961965134706815,1.0
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",wrist watches,1.0,0.013123359580052493,1.0
Wallmantra Large Vinyl Stickers Sticker,stickers,1.0,0.03164556962025317,1.0
Vedika Jewellery Alloy Bangle Set,bangles,1.0,0.016233766233766232,1.0
Craftuno Handcrafted Soapstone Mini Cannon Showpiece  -  6.25 cm,ethnic,1.0,0.038461538461538464,1.0
DailyObjects Back Cover for Apple iPad Mini/Retina Display,cases covers,1.0,0.007886435331230283,1.0
Alvaro Checkered Tie,ties,1.0,0.09803921568627451,1.0
"Italian Fashion wt272 Analog Watch  - For Girls, Women",wt272 analog watch girls,1.0,0.012048192771084338,1.0
ANAHI SAREE PIN Brooch,saree pin brooch multicolor,1.0,0.0017686593562079944,1.0
Hugo Chavez Women's A-line Dress,dresses,1.0,0.013966480446927373,1.0
Rejewel Alloy 18K Yellow Gold Bangle,alloy 18k yellow gold bangle pack,1.0,0.0017686593562079944,1.0
The Pari Brass Brass Bangle Set,bangles,1.0,0.016233766233766232,1.0
Hugo Chavez Women's Maxi Dress,dresses,1.0,0.013966480446927373,1.0
Speedwav 240318 Sun Shade For Tata Grand Dicor,240318 sun shade tata grand dicor,1.0,0.006082725060827251,1.0
Right Abstract Cushions Cover,cushion covers,1.0,0.10416666666666667,1.0
Allure Auto CM 704 Car Mat Volkswagen Beetle,car mats,1.0,0.01160092807424594,1.0
"Exxotic Jewelz Diva Fashion Yellow Gold Cubic Zirconia Silver, Brass Cuff Earring",earrings,1.0,0.06756756756756757,1.0
Webplaza Printed Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
RoyalLifestyle LED Light For Reading 003 USB Led Light,usb gadgets,1.0,0.04132231404958678,1.0
"Dernier Wear Women's A-line Black, White Dress",women line black white dress,1.0,0.0010113268608414239,1.0
Archies VJ-552 Combo Set,combos,1.0,0.016181229773462782,1.0
Madaam Women's Shift Dress,dresses,1.0,0.013966480446927373,1.0
TOUCHWOOD KIDS UNISEX SCHOLAR WHITE SCHOOL SHOE Running Shoes,kids unisex scholar white school shoe,1.0,0.0049504950495049506,1.0
HomeeHub Polyester Multicolor Self Design Eyelet Window Curtain,curtains,1.0,0.049019607843137254,1.0
Kamini Fashions Cotton Silk Blend Embroidered Blouse Material,blouse material,1.0,0.09090909090909091,1.0
Like Analog Purple Clock,analog purple clock,1.0,0.012048192771084338,1.0
Sheetal 4202 Silver Towel Holder,4202 silver towel holder stainless steel,1.0,0.01592356687898089,1.0
Vedika Jewellery Alloy Bangle Set,bangles,1.0,0.016233766233766232,1.0
Abhooshan Sterling Silver Stud Earring,earrings,1.0,0.06756756756756757,1.0
VR Designers Wood Necklace,necklaces,1.0,0.003961965134706815,1.0
Suruchi Kadhai 3 L,woks kadhais,1.0,0.06944444444444445,1.0
Msons Women's A-line Dress,dresses,1.0,0.013966480446927373,1.0
Rajrang Floral Cushions Cover,cushion covers,1.0,0.10416666666666667,1.0
Amirich Printed Women's Multicolor Basic Shorts,shorts,1.0,0.1,1.0
The Fine World Contemporary Design Brass Zircon Metal Drop Earring,earrings,1.0,0.06756756756756757,1.0
Allure Auto CM 1902 Car Mat Hyundai i20,car mats,1.0,0.01160092807424594,1.0
Awesome Silk Embroidered Blouse Material,blouse material,1.0,0.09090909090909091,1.0
DeStudio Small Wall Sticker,wall decals stickers,1.0,0.06756756756756757,1.0
SK Dreams Fashion Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Pigeon Gravy Premium with Lid Kadhai 6 L,woks kadhais,1.0,0.06944444444444445,1.0
Zwart RYKER 30 L Medium Backpack,backpacks,1.0,0.11904761904761904,1.0
"Bacteriophages, Part B",diseases,1.0,0.5,1.0
Italian Comfit Women Heels,heels,1.0,0.04424778761061947,1.0
Hkge Plant Container Set,plant container sets,1.0,0.018726591760299626,1.0
CampusMall Printed Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
S4S Stylish Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Sapatos Checkered Single Quilts & Comforters Brown & Beige,blankets quilts dohars,1.0,0.03424657534246575,1.0
Wallmantra Extra Large Vinyl Stickers Sticker,stickers,1.0,0.03164556962025317,1.0
Olvin Wayfarer Sunglasses,sunglasses,1.0,0.16666666666666666,1.0
Reebok Printed Women's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Allure Auto CM 923 Car Mat Maruti Alto K10,car mats,1.0,0.01160092807424594,1.0
Salt N Pepper 13-552 Rebacca Almond Boots,boots,1.0,0.05,1.0
Grafion by Grafion - Comfort Feel Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Orange and Orchid Printed Men's Round Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Sukkhi Copper Yellow Gold Bangle Set,bangles,1.0,0.016233766233766232,1.0
Inmark Women's Empire Waist Dress,dresses,1.0,0.013966480446927373,1.0
Voylla Artifictial Classic Plain Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Karatcraft Citra Engagement Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
Gift Island Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Storite 5 Pack 2.0 A to Micro B 5 Pin Hi-Speed for External Hard Drives/Digital Cameras/Mobile Phones (150cm - 4.5 Foot - 1.5M) USB Cable,cables,1.0,0.7142857142857143,1.0
Rama Women's Leggings,women leggings,1.0,0.0010113268608414239,1.0
Allure Auto CM 1481 Car Mat Mahindra Scorpio,car mats,1.0,0.01160092807424594,1.0
Printland PMR1340 Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
Ravishing Variety Statue Showpiece  -  30 cm,ethnic,1.0,0.038461538461538464,1.0
Valtellina Plain Single Top Sheet White,blankets quilts dohars,1.0,0.03424657534246575,1.0
Pantof Women Heels,heels,1.0,0.04424778761061947,1.0
Sindoora Alloy Bangle Set,bangles,1.0,0.016233766233766232,1.0
Easy Gardening Home Plant Container Set,plant container sets,1.0,0.018726591760299626,1.0
Baaamboos Men's Solid Formal Shirt,formal shirts,1.0,0.05102040816326531,1.0
Liza Women Wedges,wedges,1.0,0.029069767441860465,1.0
Club York Striped V-neck Casual Men's Sweater,sweaters,1.0,0.0847457627118644,1.0
"Outdazzle Designer Mustache for Men's Suit, Jackets, Shirts & Bags Lapel pin 12 Brooch",designer mustache men suit jack,1.0,0.0017686593562079944,1.0
Karatcraft Platzi Yellow Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
HomeeHub Polyester Multicolor Self Design Eyelet Window Curtain,curtains,1.0,0.049019607843137254,1.0
S4S Stylish Women's Push-up Bra,bras,1.0,0.006273525721455458,1.0
Body Care Plain Men's Pyjama,plain men pyjama,1.0,0.0010113268608414239,1.0
Pearlz Ocean Alloy Bracelet,bracelets,1.0,0.02577319587628866,1.0
Vivity Comfortable Women's Plunge Bra,bras,1.0,0.006273525721455458,1.0
AJ Dezines Boy's Angarkha and Dhoti Pant,boy angarkha dhoti pant,1.0,0.0010113268608414239,1.0
Avaron projekt Clock Brooch,clock brooch black gold,1.0,0.0017686593562079944,1.0
BlueStone The Aahna Yellow Gold Diamond 14 K Ring,rings,1.0,0.008635578583765112,1.0
Simran Synthetic Floral Print Salwar Suit Material,synthetic floral print salwar suit materi,1.0,0.0010113268608414239,1.0
LIENZ Women's Camisole,women camisole,1.0,0.20833333333333334,1.0
Wolfie Shiningbrown111 Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Lolprint Rakhi Gifts Scroll Greeting Card,rakhi gifts scroll greeting card multi,1.0,0.006711409395973154,1.0
PRINT SHAPES Jurassic Park Laptop Skin with Mouse pad Combo Set,jurassic park laptop skin mous,1.0,0.011013215859030838,1.0
Joyeria Milan Rope Resin Necklace,necklaces,1.0,0.003961965134706815,1.0
WallDesign Small Vinyl Sticker,stickers,1.0,0.03164556962025317,1.0
Durian BID/32626/A/1 Leatherette 1 Seater Sofa,sofas sectionals,1.0,0.12195121951219512,1.0
Sports 52 Wear C1595 Men's Cargos,cargos,1.0,0.4166666666666667,1.0
Tiedribbons We Love Mom Tile Showpiece  -  28 cm,showpieces,1.0,0.04716981132075472,1.0
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,wrist watches,1.0,0.013123359580052493,1.0
Maxima 15812BMLY Gold Analog Watch  - For Women,wrist watches,1.0,0.013123359580052493,1.0
Indigocart White Metal in antique look Showpiece  -  10.16 cm,showpieces,1.0,0.04716981132075472,1.0
"DressBerry Metal, Stone Necklace",necklaces,1.0,0.003961965134706815,1.0
Allure Auto CM 1484 Car Mat Mahindra XUV,car mats,1.0,0.01160092807424594,1.0
Allure Auto CM 1455 Car Mat Honda Civic,car mats,1.0,0.01160092807424594,1.0
Mxofere Combo Almond Honey Papaya Aloevera Rose Neem Tulsi Soap Kit,combos kits,1.0,0.08928571428571429,1.0
The Fine World Victorian Type Brass Zircon Metal Drop Earring,earrings,1.0,0.06756756756756757,1.0
MSL Classic Women Wedges,wedges,1.0,0.029069767441860465,1.0
TheLostPuppy Back Cover for Apple iPad Air,cases covers,1.0,0.007886435331230283,1.0
Invictus Men's Solid Formal Shirt,formal shirts,1.0,0.05102040816326531,1.0
S4S Comfortable Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
HomeeHub Polyester Multicolor Self Design Eyelet Window Curtain,curtains,1.0,0.049019607843137254,1.0
Pink Pearl Figure Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,designer notebook a5 notebook spiral,1.0,0.7142857142857143,1.0
Starsy Printed Women's Round Neck Green T-Shirt,printed women round neck green shirt,1.0,0.0010113268608414239,1.0
Gajraula Crafts Love Alloy Choker,necklaces,1.0,0.003961965134706815,1.0
Cation Casual Sleeveless Solid Women's Top,tops,1.0,0.015015015015015015,1.0
Generix OTG for Lenovo K3 OTG Cable,otg lenovo k3 otg cable white,1.0,0.005720823798627002,1.0
Sports 52 Wear Full Sleeve Solid Men's Sweatshirt,sweatshirts,1.0,0.08333333333333333,1.0
Meiro Women's Sheath Dress,dresses,1.0,0.013966480446927373,1.0
Affinity Jewellers Designer Gold Hyderabadi Gold Taar Mala String Pearl 18K Yellow Gold Plated Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Jewelhub 18k Hallmark & VS-G Diamond Gold 18 K Ring,rings,1.0,0.008635578583765112,1.0
MASARA Solid Women's Straight Kurta,solid women straight kurta,0.6,1.0,1.0
Jadoo Collections Alloy Necklace,necklaces,1.0,0.003961965134706815,1.0
Uberlyfe Extra Large Vinyl Sticker,stickers,1.0,0.03164556962025317,1.0
Glus Perfect Body Women's T-Shirt Bra,bras,1.0,0.006273525721455458,1.0
"Envy 1000 Intense,Dark Combo Set",combos,1.0,0.016181229773462782,1.0
Orientel Universal 360' Rotation Rubber Suction Cup Car Mount Stand Holder ABS Colorful For Tablet PC & Mobile Phone,car mobile holders,1.0,0.16129032258064516,1.0
"Sentinel Braveact Eren Jaeger ""Attack On Titan"" Model Kit",braveact eren jaeger attack titan\,1.0,0.018796992481203006,1.0
Digimac 1 Compartments Plastic Pen Stand,desk organizers,1.0,0.8333333333333334,1.0
Calgari Casual Full Sleeve Printed Women's Top,tops,1.0,0.015015015015015015,1.0
Jainish Men's Solid Formal Shirt,formal shirts,1.0,0.05102040816326531,1.0
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",bracelets armlets,1.0,0.15625,1.0
Allure Auto CM 409 Car Mat Tata Zest,car mats,1.0,0.01160092807424594,1.0
Prithish Friendship Is Love With Understanding Double Color Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
Voylla Artificial Classic Plain Yellow Gold Cubic Zirconia Alloy Pendant,artificial classic plain yellow gold cubi,1.0,0.0010113268608414239,1.0
Arow Cotton Bath Towel,towels,1.0,0.06944444444444445,1.0
Aerosoft Slippers,slippers,1.0,0.1724137931034483,1.0
Karatcraft Golden Ribbon Yellow Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
Allure Auto CM 840 Car Mat Toyota Etios,car mats,1.0,0.01160092807424594,1.0
classyworld Brass Cufflink,brass cufflink silver 01,1.0,0.0017686593562079944,1.0
Kuts N Crvs Loafers,casual shoes,1.0,0.03067484662576687,1.0
"Anna Andre Paris Set of Dark Fire, Red Horizon & Red Horizon Deodorants Combo Set",combos,1.0,0.016181229773462782,1.0
Leather King Lace Up Shoes,formal shoes,1.0,0.11363636363636363,1.0
DressBerry Crystal Enamel Plated Metal Necklace,necklaces,1.0,0.003961965134706815,1.0
Fashion Tree Men's Solid Formal Shirt,formal shirts,1.0,0.05102040816326531,1.0
S4S Stylish Women's Push-up Bra,bras,1.0,0.006273525721455458,1.0
