query_product,query_leaf_category,precision@5,recall,average_precision
Regent Analog 31 cm Dia Wall Clock,wall clocks,1.0,0.09803921568627451,1.0
Tweety School Cartoon Art Polyester Pencil Box,geometry pencil boxes,1.0,0.030864197530864196,1.0
Speedwav 240411 Sun Shade For Honda Jazz,240411 sun shade honda jazz dashbo,1.0,0.006082725060827251,1.0
My Foot Women Flats,flats,1.0,0.06097560975609756,1.0
Elligator Aviator Sunglasses,sunglasses,1.0,0.16666666666666666,1.0
Printland PMBA1868 Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
Indian Charm Glass Necklace,necklaces,1.0,0.003961965134706815,1.0
Sunvi Rolling Pizza Cutter,pizza cutters,1.0,0.10416666666666667,1.0
OGX Strength & Body+Bamboo Fiber-Full Thickening Root Booster,strength body bamboo fiber thickening,1.0,0.00865051903114187,1.0
Home Fashion Gallery Polyester Black Plain Eyelet Door Curtain,curtains,1.0,0.049019607843137254,1.0
Nanson Kadhai 1.25 L,woks kadhais,1.0,0.06944444444444445,1.0
Speedwav 240362 Sun Shade For Renault Duster,240362 sun shade renault duster da,1.0,0.006082725060827251,1.0
Speedwav Stainless Steel Car Bumper Guard,door bumper guards,1.0,0.38461538461538464,1.0
SG Prosoft Cricket Ball,prosoft cricket ball red,1.0,0.037037037037037035,1.0
Divine Tree Tomato Vegetable Seed,plant seeds,1.0,0.38461538461538464,1.0
Indian Charm Beads Wood Necklace,necklaces,1.0,0.003961965134706815,1.0
Nexq Women's Solid Casual Shirt,shirts,1.0,0.004105090311986864,1.0
"Maniac Solid Women's Round Neck, V-neck Yellow, Pink T-Shirt",solid women round neck neck yellow,1.0,0.0010113268608414239,1.0
Civilized Showdown Women's Jeggings,leggings jeggings,1.0,0.03424657534246575,1.0
Printland PMR1841 Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
Pearlz Ocean Alloy Jewel Set,jewellery,1.0,0.042735042735042736,1.0
I-Pop Plastic Car Bumper Guard,door bumper guards,1.0,0.38461538461538464,1.0
Fashion Centre Double Bed Mosquito Net,baby mosquito nets,1.0,0.012953367875647668,1.0
adidas 3 Stripe D 29.5 Basketball -   Size: 7,basketballs,1.0,0.25,1.0
Kytes Women's Printed Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Kanu Book Cover for ZTE Light Tab 2 V9C,cases covers,1.0,0.007886435331230283,1.0
Species Women's Floral Print Casual Shirt,shirts,1.0,0.004105090311986864,1.0
Chefn FreshForce Arugula/Meringue Wheel Pizza Cutter,pizza cutters,1.0,0.10416666666666667,1.0
Allure Auto CM 825 Car Mat Tata Indigo CS,car mats,1.0,0.01160092807424594,1.0
Tangerine Crystal Brooch,crystal brooch gold,1.0,0.0017686593562079944,1.0
Fabutex Jacquard Black And Brown Geometric Eyelet Door Curtain,curtains,1.0,0.049019607843137254,1.0
"Mynte Solid Women's Cycling Shorts, Gym Shorts, Swim Shorts",shorts,1.0,0.1,1.0
Ir Acc Casual Roll-up Sleeve Self Design Women's Top,tops,1.0,0.015015015015015015,1.0
iBall Wireless N Router,routers,1.0,0.032679738562091505,1.0
Grafion Comfort Feel Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Maxima 01784BMLY Gold Analog Watch  - For Women,wrist watches,1.0,0.013123359580052493,1.0
Provogue Corporate Casuals,casual shoes,1.0,0.03067484662576687,1.0
